title,director,year,country,criticScore,userScore,poster,rtUrl,imdbRating,imdbKeywords
To the Devil a Daughter,Peter Sykes,1976,West Germany & United Kingdom,38,38%,https://resizing.flixster.com/FpUsm_vvqjSpum7WSc9TnoPyq5I=/206x305/v1.bTsxMjA5OTI1OTtqOzE3Mjg1OzEyMDA7MTUxNTsyMDIw,https://rottentomatoes.com/m/to_the_devil_a_daughter,5.9,satanism::demon::possession::based on novel
The Town That Dreaded Sundown,Charles B. Pierce,1976,United States,50,41%,https://resizing.flixster.com/dqI7coPmZyzqP-nwMCceuSMxHkE=/206x305/v1.bTsxMjI1MzIwODtqOzE3Mjg2OzEyMDA7MTU5OTsyMTMy,https://rottentomatoes.com/m/town_that_dreaded_sundown,,
Track of the Moonbeast,Richard Ashe,1976,United States,,,,,2.2,monster
Who Can Kill a Child?,Narciso Ib&aacute;&ntilde;ez Serrador,1976,Spain,,79%,https://resizing.flixster.com/Gk-j_IgpQ5X8QJFD4Biuk6p3IMs=/206x305/v1.bTsxMTI5NTQyMjtqOzE3MzY1OzEyMDA7MTUyMjsyMTUw,https://rottentomatoes.com/m/who_can_kill_a_child,7.3,based on novel
Audrey Rose,Robert Wise,1977,United States,56,43%,https://resizing.flixster.com/o3g_NzFLQgnws8oUilnC7HZkiwk=/206x305/v1.bTsxMTIwNDY4NDtqOzE3MzY0OzEyMDA7MTM1MDsxODAw,https://rottentomatoes.com/m/audrey_rose,5.9,exorcism::possession::based on novel
The Car,Elliot Silverstein,1977,United States,,,,,6.1,devil::possession
The Child,Robert Voskanian,1977,United States,,,,,,
Count Dracula,Philip Saville,1977,United Kingdom,,,,,,
Day of the Animals,William Girdler,1977,United States,,30%,https://resizing.flixster.com/MbdJJaX007qw3vk7sLKZUuMigno=/206x305/v1.bTsxMjAxNzIzMTtqOzE3Mjg0OzEyMDA7MTg0MjsyNzkw,https://rottentomatoes.com/m/day_of_the_animals,5.5,snake
Death Bed: The Bed That Eats,George Barry,1977,United States,,30%,https://resizing.flixster.com/KIvNPE4_T2ty_VJ0SVVShu17LCI=/206x305/v1.bTsxMTIyMTU1OTtqOzE3MzY0OzEyMDA7MTAwMDsxNTAw,https://rottentomatoes.com/m/death_bed_the_bed_that_eats,4.4,demon::possession::isolation::ghost::haunting::graveyard::gore
The Demon Lover,Donald G. Jackson,1977,United States,,29%,https://resizing.flixster.com/gdUD0YF4AzDHjgDTEzMVkn5qReg=/206x305/v1.bTsxMjExNzA5MDtqOzE3Mjg1OzEyMDA7MTkzOzQwMA,https://rottentomatoes.com/m/demon_lover,3.6,demon::satanism::possession
Demon Seed,Donald Cammell,1977,United States,69,46%,https://resizing.flixster.com/-12lPKCbFFkuY5bn3HbGPQPnDLo=/206x305/v1.bTsxMTIxNTAzMztqOzE3MzY0OzEyMDA7MzM0NTs1MDkw,https://rottentomatoes.com/m/demon_seed,6.3,based on novel
Empire of the Ants,Bert I. Gordon,1977,United States,0,27%,https://resizing.flixster.com/MMziUDQ70I2bigVRJsvE3drqbL4=/206x305/v1.bTsxMTIwODEwMDtqOzE3MzY0OzEyMDA7MTM5NTsxODYw,https://rottentomatoes.com/m/empire_of_the_ants,3.9,monster::based on novel
Exorcist II: The Heretic,John Boorman,1977,United States,20,13%,https://resizing.flixster.com/5y2ZFUeOKOwkfdQ6lfJ9exaCdXU=/206x305/v1.bTsxMTI5MTI2MjtqOzE3MzY1OzEyMDA7MjI1MDszMDAw,https://rottentomatoes.com/m/exorcist_ii_the_heretic,3.7,demon::exorcism::ghost::devil::possession
Full Circle,Richard Loncraine,1977,Canada & United Kingdom,,55%,https://resizing.flixster.com/75vuImcphFjzhyi0-b5wxX36Qfk=/206x305/v1.bTsxMTU0NDYyMDtqOzE3MzY4OzEyMDA7NDAwOzU3Mg,https://rottentomatoes.com/m/the_haunting_of_julia,,
Good Against Evil,Paul Wendkos,1977,United States,,23%,https://resizing.flixster.com/2VenMwmEIVwgDNnkt2UyokLnrqA=/206x305/v1.bTsxMTIxNTEyMztqOzE3MzY0OzEyMDA7MTM3NzsxODM2,https://rottentomatoes.com/m/good_against_evil,3.7,exorcism
Haunts,Herb Freed,1977,United States,,19%,https://resizing.flixster.com/1Ou_OthJ070ettwGZitN2M5jqHA=/206x305/v1.bTsxMjE5MzMyMjtqOzE3Mjg2OzEyMDA7NDIwOzc1NQ,https://rottentomatoes.com/m/haunts,,
