id,title,director,year,country,criticScore,userScore,poster,rtUrl,imdbRating,imdbKeywords,image
44,Shadow of the Cat,John Gilling,1961,United Kingdom & United States,,50,https://resizing.flixster.com/DdHhIeuSWiQeKVvdv7nQhSA-4GU=/206x305/v1.bTsxMjEwOTE4MDtqOzE3Mjg1OzEyMDA7MTkxNzsyOTI1,https://rottentomatoes.com/m/the_shadow_of_the_cat,,,/content/images/shadow_of_the_cat1961.png
45,Werewolf in a Girls' Dormitory,Paolo Heusch,1961,Italy,,11,https://resizing.flixster.com/Br9-RFNFFE0wH5wlRdORBlKZai8=/206x305/v1.bTsxMTIzNjEwOTtqOzE3MzY1OzEyMDA7MTQ5MzsyMTI5,https://rottentomatoes.com/m/werewolf-in-a-girls-dormitory-lycanthropus,4.8,werewolf,/content/images/werewolf_in_a_girls_dormitory1961.png
46,The Awful Dr. Orloff,Jes&uacute;s Franco,1962,France & Spain,,,,,6.2,based on novel,/content/images/the_awful_dr_orloff1962.png
47,The Brain That Wouldn't Die,Joseph Green,1962,United States,33,27,https://resizing.flixster.com/GWyjreh2llX3u8FlCiIHuet71cA=/206x305/v1.bTsxMTI5Mjg4NTtqOzE3MzY1OzEyMDA7MTUzNjsyMDQ4,https://rottentomatoes.com/m/brain-that-wouldnt-die,4.1,gore::monster,/content/images/the_brain_that_wouldnt_die1962.png
48,The Cabinet of Caligari,Roger Kay,1962,United States & United Kingdom,,24,https://resizing.flixster.com/Ign9O0RCbX65qTA0hDvV2zpaGHM=/206x305/v1.bTsxMTIyNzE4MjtqOzE3MzY0OzEyMDA7MTYxNDsyMTUy,https://rottentomatoes.com/m/the_cabinet_of_caligari,,,/content/images/the_cabinet_of_caligari1962.png
49,Captain Clegg,Peter Graham Scott,1962,United Kingdom,,63,https://resizing.flixster.com/u6FVdzNzL5-66Q5yXraCFDZM7wo=/206x305/v1.bTsxMjI3NzA0NDtqOzE3Mjg3OzEyMDA7MTk5ODsyNjY0,https://rottentomatoes.com/m/captain_clegg,6.9,ghost::based on novel,/content/images/captain_clegg1962.png
50,Carnival of Souls,Herk Harvey,1962,United States,85,73,https://resizing.flixster.com/Hb0ag-oZI7yd0j4mGq6iclW1P7g=/206x305/v1.bTsxMTIxMTEzNztqOzE3MzY0OzEyMDA7MTUzNjsyMDQ4,https://rottentomatoes.com/m/carnival_of_souls,7.2,zombie::ghost::haunting,/content/images/carnival_of_souls1962.png
51,The Day of the Triffids,Steve Sekely,1962,United Kingdom,,,,,,,/content/images/the_day_of_the_triffids1962.png
52,Hands of a Stranger,Newt Arnold,1962,United States,,14,https://resizing.flixster.com/UEcuJqjw06IrELmuFUCrgsdtTIY=/206x305/v1.bTsxMTU0NDAyNztqOzE3MzY4OzEyMDA7NTk3OzEwODc,https://rottentomatoes.com/m/hands_of_a_stranger_1962,,,/content/images/hands_of_a_stranger1962.png
53,The Horrible Dr. Hichcock,Riccardo Freda,1962,Italy,,,,,6.8,,/content/images/the_horrible_dr_hichcock1962.png
