id,title,director,year,country,criticScore,userScore,poster,rtUrl,imdbRating,imdbKeywords,image
1808,The Brotherhood 2: Young Warlocks,David DeCoteau,2001,United States,,29,https://resizing.flixster.com/8Fif6iyzxBWMCYmnFJPmI04x8Js=/206x305/v1.bTsxMTIxMTE4NTtqOzE3MzY0OzEyMDA7MTUxMjsyMDE2,https://rottentomatoes.com/m/brotherhood_2_young_warlocks,3.8,,/content/images/the_brotherhood_2_young_warlocks2001.png
1809,Brotherhood of the Wolf,Christophe Gans,2001,France,72,78,https://resizing.flixster.com/cnL7R4w-XEREku0zpyV1bR3LdcY=/206x305/v1.bTsxMTM3MjQ4OTtqOzE3MzY2OzEyMDA7MTUzNjsyMDQ4,https://rottentomatoes.com/m/brotherhood_of_the_wolf,7.1,werewolf::witchcraft::gore::monster,/content/images/brotherhood_of_the_wolf2001.png
1810,The Bunker,Rob Green,2001,United Kingdom,,,,,,,/content/images/the_bunker2001.png
1811,Children of the Corn: Revelation,Guy Magar,2001,United States,,24,https://resizing.flixster.com/XrhExXshOFZXrTR9Cegx8IZx_Cs=/206x305/v1.bTsxMTIxMDA0MTtqOzE3MzY0OzEyMDA7MTUzNjsyMDQ4,https://rottentomatoes.com/m/children_of_the_corn_revelation,3.4,ghost,/content/images/children_of_the_corn_revelation2001.png
1812,Children of the Living Dead,Tor Ramsey,2001,United States,,13,https://resizing.flixster.com/DzXZKIaCLnUSScgeX2CDbKf0UKA=/206x305/v1.bTsxMTIyNDkwMDtqOzE3MzY0OzEyMDA7MTUzNjsyMDQ4,https://rottentomatoes.com/m/children_of_the_living_dead,2.3,zombie::infection::graveyard::gore,/content/images/children_of_the_living_dead2001.png
1813,Christmas Nightmare,Vince Di Meglio,2001,United States,,,https://resizing.flixster.com/RtmqQ-KPQzYgw42yDGIrJaTCUow=/206x305/v1.bTsxMTIzNDk0OTtqOzE3MzY1OzEyMDA7MTUxNDsyMTQw,https://rottentomatoes.com/m/christmas_nightmare,,,/content/images/christmas_nightmare2001.png
1814,Cradle of Fear,Alex Chandon,2001,United Kingdom,,59,https://resizing.flixster.com/HH3dbLEveGLWAOenH1UblZlX8Bw=/206x305/v1.bTsxMTIxMTEwODtqOzE3MzY0OzEyMDA7MTUxOTsxNTE5,https://rottentomatoes.com/m/cradle_of_fear_2001,,,/content/images/cradle_of_fear2001.png
1815,Dagon,Stuart Gordon,2001,Spain,56,56,https://resizing.flixster.com/qCfhSgCwr14e-ZNUIhSD5wB2K3U=/206x305/v1.bTsxMTYxNDg3NTtqOzE3MzY5OzEyMDA7MzQxOzUwMA,https://rottentomatoes.com/m/dagon,6.3,monster::hotel::based on novel,/content/images/dagon2001.png
1816,Dorian,Allan A. Goldstein,2001,Canada & United Kingdom,,,,,,,/content/images/dorian2001.png
1817,Earth vs. the Spider,Scott Ziehl,2001,United States,,,,,,,/content/images/earth_vs_the_spider2001.png
1818,Elvira's Haunted Hills,Sam Irvin,2001,United States,75,47,https://resizing.flixster.com/oC2c_r0_i6KUSBwocaWHwf2uvAQ=/206x305/v1.bTsxMTIwNDI5NztqOzE3MzY0OzEyMDA7MTQ2MTsxOTQ4,https://rottentomatoes.com/m/elviras_haunted_hills,5.9,,/content/images/elviras_haunted_hills2001.png
1819,Faust: Love of the Damned,Brian Yuzna,2001,Spain,,,,,,,/content/images/faust_love_of_the_damned2001.png
1820,Fausto 5.0,"Isidro Ortiz, Alex Olle, Carlus Padrissa",2001,Spain,,47,https://resizing.flixster.com/eipQ1fR34S6Z0gvqdhXi9kVDEyc=/206x305/v1.bTsxMjE2MzI1NDtqOzE3Mjg1OzEyMDA7MTQ0OzE5Ng,https://rottentomatoes.com/m/fausto_50,6.3,hotel,/content/images/fausto_502001.png
1821,Fear of the Dark,Glen Baisley,2001,United States,,,https://resizing.flixster.com/kuFm4iB13JTAxtO-bBxksxJ2dw0=/206x305/v1.bTsxMTE2NTU3NDtqOzE3MzY0OzEyMDA7MzAwOzMwMA,https://rottentomatoes.com/m/fear_of_the_dark_2006,,,/content/images/fear_of_the_dark2001.png
1822,Final Stab,David DeCoteau,2001,United States,,18,https://resizing.flixster.com/jvK-STZj9_fw-hcA4709PhXBcQU=/206x305/v1.bTsxMTIxMTMyOTtqOzE3MzY0OzEyMDA7MTI2MDsxNjgw,https://rottentomatoes.com/m/final_stab,3.6,slasher,/content/images/final_stab2001.png
1823,The Forsaken,J. S. Cardone,2001,United States,7,40,https://resizing.flixster.com/DZk8DTPkkiRPtO7fuPpiDqwr5JM=/206x305/v1.bTsxMTIwOTcwNztqOzE3MzY0OzEyMDA7MjI1MDszMDAw,https://rottentomatoes.com/m/forsaken,5.3,vampire::graveyard::snake::gore,/content/images/the_forsaken2001.png
1824,Frost: Portrait of a Vampire,Kevin VanHook,2001,United States,,,,,,,/content/images/frost_portrait_of_a_vampire2001.png
1825,Ghosts of Mars,John Carpenter,2001,United States,21,24,https://resizing.flixster.com/okPiTDQHBg_A0QvhobWU6GAcZpQ=/206x305/v1.bTsxMTM3MjcwODtqOzE3MzY2OzEyMDA7Mjc2MDszNjgw,https://rottentomatoes.com/m/john_carpenters_ghosts_of_mars,4.9,possession::ghost::gore::zombie,/content/images/ghosts_of_mars2001.png
1826,The Happiness of the Katakuris,Takashi Miike,2001,Japan,64,82,https://resizing.flixster.com/lq5qgXm_EK4d0-phRQVWBNl-gi0=/206x305/v1.bTsxMTYxNTAwMztqOzE3MzY5OzEyMDA7MzMzOzQ3NQ,https://rottentomatoes.com/m/happiness_of_the_katakuris,7.2,zombie,/content/images/the_happiness_of_the_katakuris2001.png
1827,Haunted Castle,Ben Stassen,2001,United States,25,45,https://resizing.flixster.com/w_LAGfI8EFaibEJdxNzrCSuDX2M=/206x305/v1.bTsxMTIwODQwOTtqOzE3MzY0OzEyMDA7MTA1MDsxNDAw,https://rottentomatoes.com/m/haunted-castle2001,,,/content/images/haunted_castle2001.png
1828,Horror Vision,Danny Draven,2001,United States,,,,,,,/content/images/horror_vision2001.png
1829,How to Make a Monster,George Huang,2001,United States,,30,https://resizing.flixster.com/2sM104ljBVffdSB_N73-41YYOyM=/206x305/v1.bTsxMTIxODgzMDtqOzE3MzY0OzEyMDA7MjEwMDszMDAw,https://rottentomatoes.com/m/1114166-how_to_make_a_monster,4.4,monster::gore,/content/images/how_to_make_a_monster2001.png
1830,"I Spit on Your Corpse, I Piss on Your Grave",Eric Stanze,2001,United States,,9,https://resizing.flixster.com/4WZjg9rAtKtsaO5CCH777x4QSzg=/206x305/v1.bTsxMTI3MTI4NTtqOzE3MzY1OzEyMDA7MTIxMjsyMTk1,https://rottentomatoes.com/m/i_spit_on_your_corpse_i_piss_on_your_grave,2.7,gore,/content/images/i_spit_on_your_corpse_i_piss_on_your_grave2001.png
1831,Jeepers Creepers,Victor Salva,2001,United States,45,48,https://resizing.flixster.com/lE7E12wr019PPuBMLz7odGCKjL4=/206x305/v1.bTsxMTI5MDk3MDtqOzE3MzY1OzEyMDA7MTUzNjsyMDQ4,https://rottentomatoes.com/m/jeepers_creepers,,,/content/images/jeepers_creepers2001.png
1832,Jesus Christ Vampire Hunter,Lee Gordon Demarbre,2001,Canada,78,58,https://resizing.flixster.com/VSYVRLR8Ycg0rvzuCx7IlCr6ePU=/206x305/v1.bTsxMTYxNDkwMDtqOzE3MzY5OzEyMDA7MzUyOzUwMA,https://rottentomatoes.com/m/jesus_christ_vampire_hunter,5.2,vampire::gore,/content/images/jesus_christ_vampire_hunter2001.png
1833,Kairo,Kiyoshi Kurosawa,2001,Japan,,,,,6.6,possession::ghost::isolation,/content/images/kairo2001.png
1834,Killer Buzz,Jeff Hare,2001,United States,,9,https://resizing.flixster.com/IisDsvyGYrSBGELpGkC7w42a6sg=/206x305/v1.bTsxMTU0NTg5NjtqOzE3MzY4OzEyMDA7NzY4OzEwMjQ,https://rottentomatoes.com/m/killer_buzz,3.3,,/content/images/killer_buzz2001.png
1835,Love Bites,Antoine de Caunes,2001,France,,43,https://resizing.flixster.com/Pn3avRjzmtl0SZL7W9ddmnp-8o4=/206x305/v1.bTsxMTI5NzgzNDtqOzE3MzY1OzEyMDA7MTUxMzsyMTM4,https://rottentomatoes.com/m/love_bites,,,/content/images/love_bites2001.png
1836,The Mangler 2,Michael Hamilton-Wright,2001,United States,,9,https://resizing.flixster.com/SeUQmQZgSO-OWzv8WViKE-5Ktoo=/206x305/v1.bTsxMjE4OTIxNztqOzE3Mjg2OzEyMDA7OTU7MTQw,https://rottentomatoes.com/m/mangler_2,,,/content/images/the_mangler_22001.png
1837,Mimic 2,Jean de Segonzac,2001,United States,8,11,https://resizing.flixster.com/M0KYPMpQkQzO7gaNKLtbGhgMIp8=/206x305/v1.bTsxMTYxNTE3MTtqOzE3MzY5OzEyMDA7NzY4OzEwMjQ,https://rottentomatoes.com/m/mimic_2,4.5,,/content/images/mimic_22001.png
1838,Mulva: Zombie Ass Kicker!,Chris Seaver,2001,United States,,,,,2.8,zombie::gore,/content/images/mulva_zombie_ass_kicker2001.png
1839,The Mummy Returns,Stephen Sommers,2001,United States,47,63,https://resizing.flixster.com/N5e77NGvp_gX20DJlpYNuF1Y_FA=/206x305/v1.bTsxMTE3MzY1OTtqOzE3MzY0OzEyMDA7ODAwOzEyMDA,https://rottentomatoes.com/m/mummy_returns,6.3,monster,/content/images/the_mummy_returns2001.png
1840,Mutation 2: Generation Dead,Timo Rose,2001,Germany,,,https://staticv2-4.rottentomatoes.com/static/images/redesign/poster_default.gif,https://rottentomatoes.com/m/mutation-2-generation-dead-mutation-2-die-generation-des-todes,4.8,,/content/images/image-404-alt.png
1841,The Others,Alejandro Amen&aacute;bar,2001,United States & Spain,83,77,https://resizing.flixster.com/lDCwQ-AcRzNF61hkgthEMN1kyDQ=/206x305/v1.bTsxMTIwOTM1NjtqOzE3MzY0OzEyMDA7MTUzNjsyMDQ4,https://rottentomatoes.com/m/1109257-others,7.6,haunting::ghost::haunted house,/content/images/the_others2001.png
1842,Plaga Zombie: Mutant Zone,Pablo Par&eacute;s,2001,Argentina,,,,,6.0,zombie,/content/images/plaga_zombie_mutant_zone2001.png
1843,Raptor,Jay Andrews,2001,United States,,22,https://resizing.flixster.com/BnTQWHMUL4dEpAYMUkxQJ557j-c=/206x305/v1.bTsxMTYxNTQ0ODtqOzE3MzY5OzEyMDA7NzMwOzEzMjM,https://rottentomatoes.com/m/raptor,,,/content/images/raptor2001.png
1844,The Resurrection Game,Mike Watt,2001,United States,,,https://staticv2-4.rottentomatoes.com/static/images/redesign/poster_default.gif,https://rottentomatoes.com/m/the-resurrection-game-necromaniac,3.7,zombie,/content/images/image-404-alt.png
1845,Route 666,William Wesley,2001,United States,,27,https://resizing.flixster.com/t_a8KD-JQvOJzMDwPcp36hc5QRk=/206x305/v1.bTsxMTYxNTUyMTtqOzE3MzY5OzEyMDA7NzY4OzEwMjQ,https://rottentomatoes.com/m/route_666,4.3,graveyard::zombie::gore::ghost,/content/images/route_6662001.png
1846,Scary Movie 2,Keenen Ivory Wayans,2001,United States,15,52,https://resizing.flixster.com/h4oPyDkkd8oGG4qG5fNBvLk-c8I=/206x305/v1.bTsxMTM3MjM0ODtqOzE3MzY2OzEyMDA7MTIwMDsxNjAw,https://rottentomatoes.com/m/scary_movie_2,5.3,exorcism::demon::haunted house::ghost::possession,/content/images/scary_movie_22001.png
1847,Session 9,Brad Anderson,2001,United States,63,64,https://resizing.flixster.com/uXGldi8JjN2DkgqrY4smVCIovvw=/206x305/v1.bTsxMTIxMDI3NztqOzE3MzY0OzEyMDA7MTQyODsxOTA0,https://rottentomatoes.com/m/session_9,6.5,haunted house::graveyard::found footage,/content/images/session_92001.png
1848,She Creature,Sebastian Gutierrez,2001,United States,20,42,https://resizing.flixster.com/QQpM5sMymxe_N1y6UgN4Pp7vTMI=/206x305/v1.bTsxMTQ1Mzg5MTtqOzE3MzY3OzEyMDA7MTQ5MTsxOTg4,https://rottentomatoes.com/m/she_creature,5.9,,/content/images/she_creature2001.png
1849,Soft for Digging,J.T. Petty,2001,United States,71,46,https://resizing.flixster.com/UMq5y9MfmKgk7JVTlJMiL-79he0=/206x305/v1.bTsxMTIyNzkwMTtqOzE3MzY0OzEyMDA7MTUyMzsyMTU4,https://rottentomatoes.com/m/1144011-soft_for_digging,5.8,,/content/images/soft_for_digging2001.png
1850,Sorum,Yoon Jong-chan,2001,South Korea,,43,https://resizing.flixster.com/bjp1RrWzLq5x665JMfreilK8SJg=/206x305/v1.bTsxMjE2NzM2NDtqOzE3Mjg1OzEyMDA7MTQ0OzIwNA,https://rottentomatoes.com/m/sorum,5.9,ghost,/content/images/sorum2001.png
1851,Stacy,Naoyuki Tomomatsu,2001,Japan,,53,https://resizing.flixster.com/dTIaDPbSS3QxaOL_tnNhaaadKPc=/206x305/v1.bTsxMTYxNjA2NztqOzE3MzY5OzEyMDA7MzM1OzQ3NQ,https://rottentomatoes.com/m/stacy,,,/content/images/stacy2001.png
1852,There is a Secret in my Soup,Yeung Chi Kin,2001,Hong Kong,,17,https://resizing.flixster.com/PrOTmk6D90H1D4qCr_Q1hDKdpDY=/206x305/v1.bTsxMjEyMjgyNDtqOzE3Mjg1OzEyMDA7OTg7MTM5,https://rottentomatoes.com/m/there_is_a_secret_in_my_soup,4.4,,/content/images/there_is_a_secret_in_my_soup2001.png
1853,Thir13en Ghosts,Steve Beck,2001,United States,14,48,https://resizing.flixster.com/D2f3PKI1aHgMThKvRMjSC3Z1S8w=/206x305/v1.bTsxMTI5MDg3NTtqOzE3MzY1OzEyMDA7MjczMDszNjQw,https://rottentomatoes.com/m/thirteen_ghosts,5.5,ghost::gore::haunted house,/content/images/thir13en_ghosts2001.png
1854,Tomie: Rebirth,Takashi Shimizu,2001,Japan,,29,https://resizing.flixster.com/jZb-T52waBX8oUq9xLpXSRc3zGk=/206x305/v1.bTsxMjEwOTU2NjtqOzE3Mjg1OzEyMDA7NDU1OzY0OA,https://rottentomatoes.com/m/tomie_rebirth,5.6,monster::gore,/content/images/tomie_rebirth2001.png
1855,Tremors 3: Back to Perfection,Brent Maddock,2001,United States,67,33,https://resizing.flixster.com/LywU-plC9v3vvzl4ciAqrn-PSik=/206x305/v1.bTsxMTIwNDU1NztqOzE3MzY0OzEyMDA7MTE3NjsxNTY4,https://rottentomatoes.com/m/tremors_3_back_to_perfection,5.4,monster,/content/images/tremors_3_back_to_perfection2001.png
1856,Trouble Every Day,Claire Denis,2001,France,49,56,https://resizing.flixster.com/_YSmuNJrp-BMtwz09BiQEwvAqEc=/206x305/v1.bTsxMTYyMTg5MjtqOzE3MzY5OzEyMDA7NzUwOzEwMDA,https://rottentomatoes.com/m/trouble_every_day,6.0,vampire::gore::hotel,/content/images/trouble_every_day2001.png
1857,Visible Secret,Ann Hui,2001,Hong Kong,,,,,5.9,ghost,/content/images/visible_secret2001.png
1858,Wendigo,Larry Fessenden,2001,United States,,,,,5.0,haunting::haunted house::ghost,/content/images/wendigo2001.png
1859,Wishmaster 3: Beyond Gates Of Hell,Chris Angel,2001,United States,,15,https://resizing.flixster.com/IIm1zMZt2Cn_YNgAe23F6xDXEsU=/206x305/v1.bTsxMTYxNTA3NjtqOzE3MzY5OzEyMDA7NzY4OzEwMjQ,https://rottentomatoes.com/m/wishmaster_3_beyond_the_gates_of_hell,3.5,gore,/content/images/wishmaster_3_beyond_gates_of_hell2001.png
1860,28 Days Later,Danny Boyle,2002,United Kingdom,,,,,7.6,zombie::infection::isolation::gore,/content/images/28_days_later2002.png
1861,Blade II,Guillermo del Toro,2002,United States,57,68,https://resizing.flixster.com/D_jcpCz6SPGPeLm1btqTjT7dkH8=/206x305/v1.bTsxMTE2OTY1MTtqOzE3MzY0OzEyMDA7ODAwOzEyMDA,https://rottentomatoes.com/m/blade_ii,6.7,vampire::gore,/content/images/blade_ii2002.png
1862,Blood Feast 2: All U Can Eat,Herschell Gordon Lewis,2002,United States,,,,,5.9,possession::gore,/content/images/blood_feast_2_all_u_can_eat2002.png
1863,Blood Gnome,John Lechago,2002,United States,,,,,,,/content/images/blood_gnome2002.png
1864,The Brotherhood III: Young Demons,David DeCoteau,2002,Canada & United States,,,,,,,/content/images/the_brotherhood_iii_young_demons2002.png
1865,Bubba Ho-Tep,Don Coscarelli,2002,United States,,,,,7.2,,/content/images/bubba_hotep2002.png
1866,Cabin Fever,Eli Roth,2002,United States,63,44,https://resizing.flixster.com/MRpKm8ZI-UOGVG36GbaaEL6_QWg=/206x305/v1.bTsxMTI5MTI3NTtqOzE3MzY1OzEyMDA7MTg3NTsyNTAw,https://rottentomatoes.com/m/1125409-cabin_fever,,,/content/images/cabin_fever2002.png
1867,Carrie,David Carson,2002,United States,,49,https://resizing.flixster.com/neVIshWHAScwhsQwEznRfDo7Dq8=/206x305/v1.bTsxMTIwNjM2NDtqOzE3MzY0OzEyMDA7MTUzNjsyMDQ4,https://rottentomatoes.com/m/1123000-carrie,,,/content/images/carrie2002.png
1868,Close your Eyes,Nick Willing,2002,United States,46,35,https://resizing.flixster.com/LIDA_tg42Oo6sAQMufRSldDF4yg=/206x305/v1.bTsxMTYxNTUyMjtqOzE3MzY5OzEyMDA7NjMwOzg0MA,https://rottentomatoes.com/m/close_your_eyes_2002,6.2,based on novel,/content/images/close_your_eyes2002.png
1869,Dark Water,Hideo Nakata,2002,Japan,77,65,https://resizing.flixster.com/cN8mknPGGn1qEA060qO652GVjFw=/206x305/v1.bTsxMTI5NTA5NTtqOzE3MzY1OzEyMDA7MTUzNjsyMDQ4,https://rottentomatoes.com/m/10002114-dark_water,,,/content/images/dark_water2002.png
1870,Darkness,Jaume Balaguer&oacute;,2002,Spain,,,,,,,/content/images/darkness2002.png
1871,Dead Above Ground,Chuck Bowman,2002,United States,,,,,3.1,slasher,/content/images/dead_above_ground2002.png
1872,Dead and Rotting,David P. Barton,2002,United States,,25,https://resizing.flixster.com/lekjy4lLSBfe9z58HwigAu3LJR8=/206x305/v1.bTsxMTMwNDcxNTtqOzE3MzY1OzEyMDA7MTUxODsyMTU0,https://rottentomatoes.com/m/dead_and_rotting,,,/content/images/dead_and_rotting2002.png
1873,Death Factory,Brad Sykes,2002,United States,,,,,,,/content/images/death_factory2002.png
1874,Deathbed,Danny Draven,2002,United States,,9,https://resizing.flixster.com/il69f5eGaQ00_LStT11wKFl2vW4=/206x305/v1.bTsxMTYxODk4OTtqOzE3MzY5OzEyMDA7Mzk5OzUzMg,https://rottentomatoes.com/m/deathbed,3.7,possession::ghost,/content/images/deathbed2002.png
1875,Deathwatch,Michael J. Bassett,2002,Germany & United Kingdom,25,42,https://resizing.flixster.com/PO8RHBwnqSgHQwF4CAIg6-OdHfs=/206x305/v1.bTsxMTIwOTc0NjtqOzE3MzY0OzEyMDA7MTUzNjsyMDQ4,https://rottentomatoes.com/m/deathwatch,6.0,ghost,/content/images/deathwatch2002.png
1876,Descendant,Kermit Christman,2002,United States,,5,https://resizing.flixster.com/6aqjHlzmL4k9CXUZbh7vSxQVn6A=/206x305/v1.bTsxMTI3NDE2ODtqOzE3MzY1OzEyMDA7MTUxMzsyMTY2,https://rottentomatoes.com/m/descendant,,,/content/images/descendant2002.png
1877,Dog Soldiers,Neil Marshall,2002,United Kingdom & Luxembourg,79,79,https://resizing.flixster.com/K5jxvay2eJFphbSK82mUDjHQccU=/206x305/v1.bTsxMTI5MDk1ODtqOzE3MzY1OzEyMDA7MTUxNTsyMDIw,https://rottentomatoes.com/m/dog_soldiers,6.8,werewolf::gore,/content/images/dog_soldiers2002.png
1878,Dolla Morte,Bill Zebub,2002,United States,,,,,,,/content/images/dolla_morte2002.png
1879,"Dracula, Pages From a Virgin's Diary",Guy Maddin,2002,Canada,,,,,7.0,vampire::based on novel,/content/images/dracula_pages_from_a_virgins_diary2002.png
1880,Eight Legged Freaks,Ellory Elkayem,2002,United States,48,32,https://resizing.flixster.com/RSc4dVV9xBlg3GnFZIJKIo_AAYM=/206x305/v1.bTsxMTIwODQ0ODtqOzE3MzY0OzEyMDA7MTUzNjsyMDQ4,https://rottentomatoes.com/m/eight_legged_freaks,5.4,,/content/images/eight_legged_freaks2002.png
1881,The Eye,Danny Pang,2002,Hong Kong & Singapore,,,,,,,/content/images/the_eye2002.png
1882,Fear of the Dark,K.C. Bascombe,2002,Canada,,41,https://resizing.flixster.com/1G2ofPw1UNR3MGc9-8ANLuByW8I=/206x305/v1.bTsxMTYxNDQ2MDtqOzE3MzY5OzEyMDA7MzM3OzQ3NQ,https://rottentomatoes.com/m/fear_of_the_dark,,,/content/images/fear_of_the_dark2002.png
1883,FeardotCom,William Malone,2002,United States,3,17,https://resizing.flixster.com/oHV_R_Dw7WyMoze1pLUT8Ul9pN8=/206x305/v1.bTsxMTIxMDMyMjtqOzE3MzY0OzEyMDA7MTUzNjsyMDQ4,https://rottentomatoes.com/m/feardotcom_2002,3.3,gore::ghost,/content/images/feardotcom2002.png
1884,Ghost Ship,Steve Beck,2002,United States,14,37,https://resizing.flixster.com/QmVTDHMR1b9LTembL8VxmWvBjdI=/206x305/v1.bTsxMTI5MTQ3NTtqOzE3MzY1OzEyMDA7MjQwMDszMjAw,https://rottentomatoes.com/m/ghost_ship,5.5,ghost::haunting::gore,/content/images/ghost_ship2002.png
1885,Halloween: Resurrection,Rick Rosenthal,2002,United States,12,26,https://resizing.flixster.com/v1bQkli4f14HZhzjlA_LxZqLqek=/206x305/v1.bTsxMTYxNDc3ODtqOzE3MzY5OzEyMDA7NjAwOzgwMA,https://rottentomatoes.com/m/halloween_resurrection,4.1,gore::slasher,/content/images/halloween_resurrection2002.png
1886,Hunting Humans,Kevin Kangas,2002,,,34,https://resizing.flixster.com/774nhR_wrpS04JMn7aitORNud04=/206x305/v1.bTsxMDg1NTU4MTtqOzE3MzYwOzEyMDA7MTEwOzE1MA,https://rottentomatoes.com/m/hunting_humans,4.5,gore,/content/images/hunting_humans2002.png
1887,Jason X,James Isaac,2002,United States,19,24,https://resizing.flixster.com/CKWcY80M-VrmIV4PlrMnFBbMpAI=/206x305/v1.bTsxMTE3MjYwODtqOzE3MzY0OzEyMDA7ODAwOzEyMDA,https://rottentomatoes.com/m/jason_x,,,/content/images/jason_x2002.png
1888,Ju-on: The Grudge,Takashi Shimizu,2002,Japan,,,,,6.7,haunted house::gore::possession::ghost,/content/images/juon_the_grudge2002.png
1889,Killer Barbys vs. Dracula,Jesus Franco,2002,,,40,https://resizing.flixster.com/ggsXyzyXAE7o1tpJ3lQNveNqgag=/206x305/v1.bTsxMTYyMTAxMjtqOzE3MzY5OzEyMDA7MzYwOzUxMA,https://rottentomatoes.com/m/killer_barbys_vs_dracula,2.8,vampire,/content/images/killer_barbys_vs_dracula2002.png
1890,Killer Bees,Scott Leberecht,2002,United States,,31,https://resizing.flixster.com/oZh8PR9RrZxRGZp-SGwnNJu4f08=/206x305/v1.bTsxMTIxNDAwMDtqOzE3MzY0OzEyMDA7MTUzNjsyMDQ4,https://rottentomatoes.com/m/killer_bees_2002,,,/content/images/killer_bees2002.png
1891,Killjoy 2: Deliverance from Evil,Tammi Sutton,2002,,,23,https://resizing.flixster.com/edCUqoAUm-sN8ud8EHSyoJ7SuVI=/206x305/v1.bTsxMTYxODcxNjtqOzE3MzY5OzEyMDA7Nzg4OzEwNTA,https://rottentomatoes.com/m/killjoy_2_deliverance_from_evil_2002,3.2,clown,/content/images/killjoy_2_deliverance_from_evil2002.png
1892,Long Time Dead,Marcus Adams,2002,United Kingdom,,,,,4.9,possession::slasher,/content/images/long_time_dead2002.png
1893,Make a Wish,Sharon Ferranti,2002,United States,0,18,https://resizing.flixster.com/VdmhcCHA2HUAsE2FTaMI3H4orL0=/206x305/v1.bTsxMTU0NzI5NDtqOzE3MzY4OzEyMDA7NDYyOzY0OA,https://rottentomatoes.com/m/make_a_wish,,,/content/images/make_a_wish2002.png
1894,Mal&eacute;fique,Eric Valette,2002,France,,,,,,,/content/images/maleacutefique2002.png
1895,May,Lucky McKee,2002,United States,,,,,,,/content/images/may2002.png
1896,Mutation 3&nbsp;&ndash; Century of the Dead,Timo Rose,2002,Germany,,,,,,,/content/images/mutation_3nbspndash_century_of_the_dead2002.png
1897,My Little Eye,Marc Evans,2002,United States & United Kingdom & France,67,38,https://resizing.flixster.com/C3Fjsdbjmx93_YxmAEQ9K2a1DtQ=/206x305/v1.bTsxMTIxMDMxMTtqOzE3MzY0OzEyMDA7MTA1MDsxNDAw,https://rottentomatoes.com/m/my_little_eye,5.6,slasher::gore,/content/images/my_little_eye2002.png
1898,Nine Lives,Andrew Green,2002,United States,,27,https://resizing.flixster.com/SbZTZqsHwwvs0jrsCB6WadqVuao=/206x305/v1.bTsxMjE4ODg0NjtqOzE3Mjg2OzEyMDA7OTAwOzEyMDA,https://rottentomatoes.com/m/1131106-nine_lives,,,/content/images/nine_lives2002.png
1899,Phone,Ahn Byeong-ju,2002,South Korea,63,62,https://resizing.flixster.com/7WssSW2838wJo-A0t9uglLjtSlA=/206x305/v1.bTsxMTYxNDk1NTtqOzE3MzY5OzEyMDA7MzU3OzUwMA,https://rottentomatoes.com/m/phone,7.1,,/content/images/phone2002.png
1900,Project Viper,Jay Andrews,2002,United States,,9,https://resizing.flixster.com/GCHI0vRKpBp-MrzsgeARKW6gDVE=/206x305/v1.bTsxMTU0NjUwOTtqOzE3MzY4OzEyMDA7NDMyOzU3Ng,https://rottentomatoes.com/m/project_viper,3.6,monster::alien,/content/images/project_viper2002.png
1901,Python II,Lee McConnell,2002,United States,,29,https://resizing.flixster.com/P_qNvT0KpBXO6KSRtAFXF0PRbrI=/206x305/v1.bTsxMTIyMDY4OTtqOzE3MzY0OzEyMDA7MTQ4MTsxOTc0,https://rottentomatoes.com/m/python_ii,2.8,snake,/content/images/python_ii2002.png
1902,Queen of the Damned,Michael Rymer,2002,United States,17,66,https://resizing.flixster.com/K-bf5KQk8xeO7hK6IqtM3XT3TIk=/206x305/v1.bTsxMTE2OTcyNDtqOzE3MzY0OzEyMDA7ODAwOzEyMDA,https://rottentomatoes.com/m/queen_of_the_damned,5.3,vampire::based on novel,/content/images/queen_of_the_damned2002.png
1903,Resident Evil,Paul W.S. Anderson,2002,United States,34,68,https://resizing.flixster.com/wXt-pqtx2mLHWuymehA2n1coih0=/206x305/v1.bTsxMTE2OTg3NztqOzE3MzY0OzEyMDA7ODAwOzEyMDA,https://rottentomatoes.com/m/resident_evil,,,/content/images/resident_evil2002.png
1904,The Ring,Gore Verbinski,2002,United States,71,48,https://resizing.flixster.com/Nx3lriodWBG9CnVdurDArV12-bU=/206x305/v1.bTsxMTYxNDI2NTtqOzE3MzY5OzEyMDA7NTgyOzc3Ng,https://rottentomatoes.com/m/the_ring,,,/content/images/the_ring2002.png
1905,Rose Red,Craig R. Baxley,2002,United States,,,,,6.7,haunted house::zombie::doll::ghost,/content/images/rose_red2002.png
1906,Shark Attack 3: Megalodon,David Worth,2002,United States,,,,,2.8,shark,/content/images/shark_attack_3_megalodon2002.png
1907,Slash,Neal Sundstrom,2002,,,,,,,,/content/images/slash2002.png
1908,They,Robert Harmon,2002,United States,38,24,https://resizing.flixster.com/-qrVh7UagBkn6Qeu0R__KsIvo5A=/206x305/v1.bTsxMTU0NTAxODtqOzE3MzY4OzEyMDA7NzY4OzEwMjQ,https://rottentomatoes.com/m/1115907-1115907-they,,,/content/images/they2002.png
1909,Three,Kim Ji-Woon,2002,South Korea & Thailand & Hong Kong,,,,,,,/content/images/three2002.png
